Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
72,Jaylen Brown\brownja02,SG,24,BOS,51,51,1742,466,959,.486,139,350,.397,327,609,.537,.558,166,221,.751,63,229,292,176,62,29,136,148,1237
73,Moses Brown\brownmo01,C,21,OKC,25,14,516,82,148,.554,0,0,,82,148,.554,.554,53,86,.616,81,134,215,4,14,27,22,50,217
74,Sterling Brown\brownst02,SG,25,HOU,51,14,1229,150,335,.448,91,215,.423,59,120,.492,.584,25,31,.806,38,186,224,72,38,12,41,97,416
75,Troy Brown Jr.\browntr01,SF,21,TOT,30,0,453,52,130,.400,21,66,.318,31,64,.484,.481,14,20,.700,18,76,94,28,8,6,19,45,139
75,Troy Brown Jr.\browntr01,SF,21,WAS,21,0,287,33,89,.371,14,46,.304,19,43,.442,.449,10,15,.667,11,50,61,19,3,4,16,29,90
75,Troy Brown Jr.\browntr01,SF,21,CHI,9,0,166,19,41,.463,7,20,.350,12,21,.571,.549,4,5,.800,7,26,33,9,5,2,3,16,49
76,Jalen Brunson\brunsja01,PG,24,DAL,49,11,1255,236,451,.523,60,153,.392,176,298,.591,.590,97,123,.789,19,155,174,164,26,0,63,84,629
77,Thomas Bryant\bryanth01,C,23,WAS,10,10,271,59,91,.648,9,21,.429,50,70,.714,.698,16,24,.667,18,43,61,15,4,8,11,31,143
78,Reggie Bullock\bullore01,SF,29,NYK,48,47,1330,165,389,.424,106,269,.394,59,120,.492,.560,31,35,.886,11,147,158,65,39,8,33,105,467
79,Trey Burke\burketr01,PG,28,DAL,49,0,700,118,266,.444,47,130,.362,71,136,.522,.532,34,40,.850,5,38,43,66,27,3,25,49,317
80,Alec Burks\burksal01,SG,29,NYK,43,5,1112,177,432,.410,85,211,.403,92,221,.416,.508,93,108,.861,19,172,191,95,29,12,44,89,532
81,Jimmy Butler\butleji01,SF,31,MIA,39,39,1317,278,563,.494,19,80,.238,259,483,.536,.511,261,306,.853,74,207,281,279,80,15,84,55,836
82,Bruno Caboclo\cabocbr01,PF,25,HOU,6,0,36,8,17,.471,0,5,.000,8,12,.667,.471,1,2,.500,3,11,14,1,0,2,4,6,17
83,Devontae Cacok\cacokde01,PF,24,LAL,15,1,76,16,25,.640,0,0,,16,25,.640,.640,3,7,.429,10,18,28,1,5,4,4,7,35
84,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,51,51,1380,157,366,.429,84,202,.416,73,164,.445,.544,63,74,.851,23,114,137,84,38,17,55,83,461
85,Facundo Campazzo\campafa01,PG,29,DEN,48,4,897,75,195,.385,51,135,.378,24,60,.400,.515,41,49,.837,13,61,74,135,49,10,46,94,242
86,Vlatko Čančar\cancavl01,PF,23,DEN,28,0,157,15,36,.417,5,19,.263,10,17,.588,.486,5,6,.833,5,24,29,8,8,2,10,13,40
87,Devin Cannady\cannade01,PG,24,ORL,3,0,13,3,7,.429,2,5,.400,1,2,.500,.571,6,7,.857,0,0,0,0,1,1,0,2,14
88,Clint Capela\capelca01,C,26,ATL,48,48,1445,318,530,.600,0,0,,318,530,.600,.600,102,172,.593,224,459,683,41,33,106,60,110,738
89,Vernon Carey Jr.\careyve01,C,19,CHO,10,0,33,3,8,.375,0,4,.000,3,4,.750,.375,2,3,.667,2,8,10,1,0,2,3,2,8
90,Jevon Carter\carteje01,PG,25,PHO,42,0,448,52,133,.391,33,94,.351,19,39,.487,.515,2,2,1.000,10,51,61,50,17,8,8,43,139
91,Wendell Carter Jr.\cartewe01,C,21,TOT,41,31,1036,176,337,.522,10,35,.286,166,302,.550,.537,107,144,.743,96,229,325,86,27,34,64,116,469
91,Wendell Carter Jr.\cartewe01,C,21,CHI,32,25,792,129,252,.512,8,22,.364,121,230,.526,.528,82,111,.739,70,180,250,69,18,24,49,96,348
91,Wendell Carter Jr.\cartewe01,C,21,ORL,9,6,244,47,85,.553,2,13,.154,45,72,.625,.565,25,33,.758,26,49,75,17,9,10,15,20,121
92,Michael Carter-Williams\cartemi01,SG,29,ORL,30,24,773,99,258,.384,14,58,.241,85,200,.425,.411,47,76,.618,38,93,131,126,24,16,67,80,259
93,Alex Caruso\carusal01,PG,26,LAL,45,0,923,94,219,.429,44,104,.423,50,115,.435,.530,36,55,.655,23,111,134,117,52,10,55,80,268
94,Willie Cauley-Stein\caulewi01,C,27,DAL,36,11,609,79,128,.617,1,8,.125,78,120,.650,.621,33,50,.660,40,112,152,26,11,28,17,83,192
95,Chris Chiozza\chiozch01,PG,25,BRK,22,1,232,31,88,.352,13,42,.310,18,46,.391,.426,13,17,.765,3,21,24,65,7,6,16,19,88
96,Marquese Chriss\chrisma01,PF,23,GSW,2,0,27,5,14,.357,1,5,.200,4,9,.444,.393,2,4,.500,3,10,13,2,0,2,2,3,13
97,Gary Clark\clarkga01,SF,26,TOT,37,11,641,40,131,.305,31,108,.287,9,23,.391,.424,8,10,.800,33,80,113,30,12,7,17,34,119
97,Gary Clark\clarkga01,SF,26,ORL,35,11,637,40,131,.305,31,108,.287,9,23,.391,.424,8,10,.800,33,79,112,30,12,7,17,34,119
97,Gary Clark\clarkga01,SF,26,DEN,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
98,Brandon Clarke\clarkbr01,PF,24,MEM,44,16,1119,209,404,.517,19,62,.306,190,342,.556,.541,62,93,.667,70,175,245,74,46,37,25,67,499
99,Jordan Clarkson\clarkjo01,SG,28,UTA,51,0,1296,318,754,.422,154,441,.349,164,313,.524,.524,85,89,.955,39,161,200,110,44,8,87,76,875
100,Nicolas Claxton\claxtni01,C,21,BRK,22,1,394,67,113,.593,1,4,.250,66,109,.606,.597,22,44,.500,31,75,106,23,14,28,12,45,157
101,Amir Coffey\coffeam01,SG,23,LAC,37,0,277,36,75,.480,20,45,.444,16,30,.533,.613,11,19,.579,6,22,28,15,7,0,11,13,103
102,John Collins\collijo01,PF,23,ATL,47,47,1422,333,611,.545,60,158,.380,273,453,.603,.594,129,154,.838,98,267,365,65,25,49,57,152,855
103,Mike Conley\conlemi01,PG,33,UTA,44,44,1312,251,557,.451,123,296,.416,128,261,.490,.561,102,119,.857,33,118,151,246,59,7,82,86,727
104,Pat Connaughton\connapa01,SG,28,MIL,50,3,1152,121,272,.445,70,181,.387,51,91,.560,.574,25,34,.735,51,189,240,67,35,18,23,74,337
105,Quinn Cook\cookqu01,PG,27,TOT,23,0,157,29,68,.426,11,26,.423,18,42,.429,.507,7,8,.875,2,15,17,18,4,1,7,10,76
105,Quinn Cook\cookqu01,PG,27,LAL,16,0,62,12,26,.462,5,13,.385,7,13,.538,.558,4,5,.800,0,5,5,5,1,1,3,2,33
105,Quinn Cook\cookqu01,PG,27,CLE,7,0,95,17,42,.405,6,13,.462,11,29,.379,.476,3,3,1.000,2,10,12,13,3,0,4,8,43
106,Tyler Cook\cookty01,SF-PF,23,TOT,16,0,165,20,33,.606,0,0,,20,33,.606,.606,6,12,.500,11,22,33,8,4,0,9,18,46
106,Tyler Cook\cookty01,PF,23,BRK,4,0,17,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,1,2,2,0,0,1,2,2
106,Tyler Cook\cookty01,SF,23,DET,12,0,148,19,30,.633,0,0,,19,30,.633,.633,6,12,.500,10,21,31,6,4,0,8,16,44
107,DeMarcus Cousins\couside01,C,30,TOT,27,11,519,83,216,.384,40,117,.342,43,99,.434,.477,45,63,.714,32,165,197,62,22,18,43,78,251
107,DeMarcus Cousins\couside01,C,30,HOU,25,11,506,79,210,.376,39,116,.336,40,94,.426,.469,44,59,.746,30,161,191,60,21,18,39,74,241
107,DeMarcus Cousins\couside01,C,30,LAC,2,0,13,4,6,.667,1,1,1.000,3,5,.600,.750,1,4,.250,2,4,6,2,1,0,4,4,10
108,Robert Covington\covinro01,PF,30,POR,52,52,1676,164,397,.413,107,279,.384,57,118,.483,.548,38,47,.809,41,304,345,89,81,67,56,143,473
109,Torrey Craig\craigto01,SF,30,TOT,32,0,424,53,111,.477,20,51,.392,33,60,.550,.568,6,10,.600,27,74,101,29,20,12,12,48,132
109,Torrey Craig\craigto01,SF,30,MIL,18,0,201,18,46,.391,8,22,.364,10,24,.417,.478,1,2,.500,13,30,43,16,9,7,5,24,45
