,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
70,59,Chris Boucher\bouchch01,C,28,TOR,55,10,23.7,4.8,9.3,0.517,1.5,3.8,0.383,3.3,5.5,0.61,0.595,2.5,3.2,0.784,1.9,4.6,6.5,1.1,0.6,1.9,0.7,2.7,13.5
71,60,Brian Bowen\bowenbr02,SF,22,IND,5,0,2.4,0.2,0.6,0.333,0.0,0.0,,0.2,0.6,0.333,0.333,0.2,0.2,1.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.6
72,61,Avery Bradley\bradlav01,SG,30,TOT,19,3,21.7,2.7,6.5,0.415,1.3,3.7,0.352,1.4,2.7,0.5,0.516,0.5,0.7,0.769,0.3,1.8,2.1,1.6,0.6,0.1,0.8,2.3,7.2
73,61,Avery Bradley\bradlav01,SG,30,MIA,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
74,61,Avery Bradley\bradlav01,SG,30,HOU,9,2,22.4,2.2,6.3,0.351,1.0,3.7,0.273,1.2,2.7,0.458,0.43,0.3,0.4,0.75,0.3,2.1,2.4,1.8,0.4,0.1,0.8,1.9,5.8
75,62,Tony Bradley\bradlto01,C,23,TOT,29,8,16.1,2.9,4.4,0.656,0.0,0.1,0.0,2.9,4.3,0.672,0.656,0.7,1.0,0.679,2.0,3.8,5.8,0.9,0.3,0.8,0.7,1.6,6.4
76,62,Tony Bradley\bradlto01,C,23,PHI,20,8,14.4,2.6,3.8,0.68,0.0,0.1,0.0,2.6,3.7,0.689,0.68,0.4,0.6,0.636,2.0,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5
77,62,Tony Bradley\bradlto01,C,23,OKC,9,0,19.9,3.7,5.9,0.623,0.0,0.2,0.0,3.7,5.7,0.647,0.623,1.3,1.9,0.706,2.2,5.0,7.2,1.1,0.3,1.0,1.4,1.9,8.7
78,63,Jarrell Brantley\brantja01,PF,24,UTA,18,0,4.4,0.8,1.7,0.5,0.4,1.0,0.389,0.4,0.7,0.667,0.617,0.1,0.1,1.0,0.3,0.7,1.1,0.3,0.2,0.1,0.1,0.7,2.2
79,64,Ignas Brazdeikis\brazdig01,SF,22,TOT,5,0,3.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.4,0.4,1.0,0.2,0.6,0.8,0.2,0.0,0.0,0.2,0.0,0.4
80,64,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,0,1.8,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.5,0.5,1.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
81,64,Ignas Brazdeikis\brazdig01,SF,22,PHI,1,0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82,65,Mikal Bridges\bridgmi01,SF,24,PHO,54,54,32.0,4.8,9.3,0.522,1.7,4.2,0.405,3.1,5.1,0.619,0.614,1.5,1.9,0.822,1.1,3.4,4.6,2.2,0.9,0.9,0.8,1.6,12.9
83,66,Miles Bridges\bridgmi02,PF,22,CHO,53,7,27.6,4.0,7.9,0.502,1.4,3.7,0.381,2.6,4.3,0.606,0.59,1.3,1.5,0.875,1.3,4.5,5.8,2.0,0.6,0.7,1.6,2.1,10.7
84,67,Oshae Brissett\brissos01,SF,22,IND,3,0,2.0,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.0,0.7
85,68,Malcolm Brogdon\brogdma01,PG,28,IND,47,47,35.2,8.1,17.5,0.46,2.7,6.7,0.4,5.4,10.8,0.497,0.536,2.5,2.9,0.861,0.9,3.9,4.8,5.9,1.0,0.2,2.1,2.0,21.3
86,69,Armoni Brooks\brookar01,SG,22,HOU,2,0,8.5,2.5,4.0,0.625,2.0,3.5,0.571,0.5,0.5,1.0,0.875,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,7.0
